asset_id,artifact_type,region,product,version,file_name,size_bytes,sha256,source_url,drive_relative_path,evidence_level,status,acquired_at_utc,notes

ybcs22-logical,installer,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe,470688152,c42f37b06f27a6ee0b14e6fea6129cf89956a3e1c7a37c1172a28577f6cdae88,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/,unrated,archived_as_18_parts,2026-09-14,"Logical original; stored as 18 ordered parts because single-file Drive upload timed out."
ybcs22-part-001,split_part,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.part-001,26214400,81b9a082517335d5a60a4c674089eb83545f5c8b99239859c7fb36530fb927f8,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.part-001,unrated,archived,2026-09-14,"Part 1 of 18; concatenate in filename order."
ybcs22-part-002,split_part,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.part-002,26214400,bcbd00f3b44bf62913b71e2316ad6ce140696508e8e641c9169355dc8f39d2d4,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.part-002,unrated,archived,2026-09-14,"Part 2 of 18; concatenate in filename order."
ybcs22-part-003,split_part,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.part-003,26214400,f0188252050aacef943a9af5a32615821cfc539defbae111fed8da5963f61fb0,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.part-003,unrated,archived,2026-09-14,"Part 3 of 18; concatenate in filename order."
ybcs22-part-004,split_part,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.part-004,26214400,08daf782ac61dc152e6c39c4477bf44b2333bbc21336cc8f37a57b949c688882,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.part-004,unrated,archived,2026-09-14,"Part 4 of 18; concatenate in filename order."
ybcs22-part-005,split_part,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.part-005,26214400,a88914eab9a239a5786599a665987ea710308ee5d9cbeb22bce1378fabf1c455,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.part-005,unrated,archived,2026-09-14,"Part 5 of 18; concatenate in filename order."
ybcs22-part-006,split_part,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.part-006,26214400,a876895241403a3f1e88bdc24c43460a4b27e31a54c30c8b090cd3d18b784a07,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.part-006,unrated,archived,2026-09-14,"Part 6 of 18; concatenate in filename order."
ybcs22-part-007,split_part,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.part-007,26214400,77142ac1f32a21fe077d7157ed0ba12c20ced8664ee2d2df068a9ed3a549ba23,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.part-007,unrated,archived,2026-09-14,"Part 7 of 18; concatenate in filename order."
ybcs22-part-008,split_part,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.part-008,26214400,4e59724315e51e7e909cd5738141c6e8c78329e34ef8a906750317e18f94b682,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.part-008,unrated,archived,2026-09-14,"Part 8 of 18; concatenate in filename order."
ybcs22-part-009,split_part,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.part-009,26214400,290e33733da9c6bb5ec85e15cfb8b26a3b264c73f2202cfaca55beebd130785c,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.part-009,unrated,archived,2026-09-14,"Part 9 of 18; concatenate in filename order."
ybcs22-part-010,split_part,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.part-010,26214400,97d6ffb0e70bfce75dfcbe86d2123ba5c1896c6314893467b78f60887d5b9609,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.part-010,unrated,archived,2026-09-14,"Part 10 of 18; concatenate in filename order."
ybcs22-part-011,split_part,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.part-011,26214400,7dac8ef4a76114c3fdac18a0e14c9f23fc002141460de9a2366ac9682f79785f,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.part-011,unrated,archived,2026-09-14,"Part 11 of 18; concatenate in filename order."
ybcs22-part-012,split_part,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.part-012,26214400,a6ef77b95a10dd8f4eb1ee8b276919c5f4c879d20f8d1bd9c8070a9afe0e1c5b,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.part-012,unrated,archived,2026-09-14,"Part 12 of 18; concatenate in filename order."
ybcs22-part-013,split_part,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.part-013,26214400,683d163d6d9498114b040bc9ff87eb34c56067d3ebc26a2f7fa9c8eebebbd573,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.part-013,unrated,archived,2026-09-14,"Part 13 of 18; concatenate in filename order."
ybcs22-part-014,split_part,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.part-014,26214400,f6bf91083d3b47d08c761342e9f0aed15faea23a7d5a56e49c48090d9227c187,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.part-014,unrated,archived,2026-09-14,"Part 14 of 18; concatenate in filename order."
ybcs22-part-015,split_part,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.part-015,26214400,0ec28516661f16b1b2adff51b52fbdf4ed44689e1dfda5c44282946e5a93f32b,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.part-015,unrated,archived,2026-09-14,"Part 15 of 18; concatenate in filename order."
ybcs22-part-016,split_part,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.part-016,26214400,1e4c6fe1bf433fdd0361ffc83fccc957923192445ddee6a0c69c240b078a80a9,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.part-016,unrated,archived,2026-09-14,"Part 16 of 18; concatenate in filename order."
ybcs22-part-017,split_part,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.part-017,26214400,43da0924df023995b18803d17f43c8992b2689a0ffc9ec6c83304321907f2811,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.part-017,unrated,archived,2026-09-14,"Part 17 of 18; concatenate in filename order."
ybcs22-part-018,split_part,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.part-018,25043352,aac3d31720b6d82caaa9ed4c2ada0784839e85f94b98476258e208b60fffe56c,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.part-018,unrated,archived,2026-09-14,"Part 18 of 18; final part."
ybcs22-manifest,reassembly_manifest,unknown,YBCS-Online,2.2,YBCS-Online-Setup-2.2.exe.parts.txt,1348,56a5899a1045bce149e6e0d5f22038e4a5bb35e432a270ff847f9ed88abdfc28,https://oss.figupaw.com/client-updates/YBCS-Online-Setup-2.2.exe,00_inbox/YBCS-Online-Setup-2.2.exe.parts.txt,unrated,archived,2026-09-14,"Reassembly instructions and original SHA-256."
